count	n_fns	first_seed	signature
13	12	split_seeds/SLPVectorizer__alternate-non-profitable.replace_through_binop_fail_cant_speculate.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInsertElementInst,SLPVectorizerPass::vectorizeInserts,vectorizeChainsInBlock::lambda
13	19	split_seeds/SLPVectorizer__gather-cost.gather_load.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInsertElementInst,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeStoreChain,SLPVectorizerPass::vectorizeStoreChains,SLPVectorizerPass::vectorizeStores,tryToVectorizeList::lambda,vectorizeChainsInBlock::lambda,vectorizeStoreChains::lambda,vectorizeStores::lambda,vectorizeStores::sort_internals
12	15	split_seeds/SLPVectorizer__buildvector-float-and-extract-lane1.test.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeRootInstruction,SLPVectorizerPass::vectorizeStoreChains,tryToVectorize::lambda,tryToVectorizeList::lambda,vectorizeChainsInBlock::lambda
12	16	split_seeds/SLPVectorizer__jumbled-load-multiuse.fn1.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeStoreChain,SLPVectorizerPass::vectorizeStoreChains,SLPVectorizerPass::vectorizeStores,vectorizeChainsInBlock::lambda,vectorizeStoreChains::lambda,vectorizeStores::lambda,vectorizeStores::sort_internals
11	16	split_seeds/SLPVectorizer__barriercall.foo.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInsertElementInst,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeStoreChain,SLPVectorizerPass::vectorizeStoreChains,SLPVectorizerPass::vectorizeStores,vectorizeChainsInBlock::lambda,vectorizeStoreChains::lambda,vectorizeStores::lambda,vectorizeStores::sort_internals
11	15	split_seeds/SLPVectorizer__extractelements-subnodes-same-index.test.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInsertElementInst,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeRootInstruction,tryToVectorize::lambda,tryToVectorizeList::lambda,vectorizeChainsInBlock::lambda
9	17	split_seeds/SLPVectorizer__external-reduced-value-vectorized.test.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeRootInstruction,SLPVectorizerPass::vectorizeStoreChains,tryToVectorize::lambda,tryToVectorizeList::lambda,vectorizeChainsInBlock::lambda,vectorizeCmpInsts::lambda,vectorizeCmpInsts::sort_internals
8	15	split_seeds/SLPVectorizer__bool-logical-op-reduction-with-poison.test.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeRootInstruction,tryToVectorizeList::lambda,vectorizeChainsInBlock::lambda,vectorizeCmpInsts::lambda,vectorizeCmpInsts::sort_internals
8	15	split_seeds/SLPVectorizer__exp2-vectorize.exp2_combine.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeGEPIndices,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeStoreChain,SLPVectorizerPass::vectorizeStoreChains,SLPVectorizerPass::vectorizeStores,vectorizeChainsInBlock::lambda,vectorizeStoreChains::lambda,vectorizeStores::lambda,vectorizeStores::sort_internals
7	15	split_seeds/SLPVectorizer__complex-loads.test.ll	PassModel::run,SLPVectorizerPass::collectSeedInstructions,SLPVectorizerPass::run,SLPVectorizerPass::runImpl,SLPVectorizerPass::tryToVectorize,SLPVectorizerPass::tryToVectorizeList,SLPVectorizerPass::vectorizeChainsInBlock,SLPVectorizerPass::vectorizeCmpInsts,SLPVectorizerPass::vectorizeGEPIndices,SLPVectorizerPass::vectorizeHorReduction,SLPVectorizerPass::vectorizeInserts,SLPVectorizerPass::vectorizeRootInstruction,tryToVectorize::lambda,tryToVectorizeList::lambda,vectorizeChainsInBlock::lambda
